id,model_text,actual_class,predicted_class,predicted_probability,truth_mean,truth_median
827958658701066240,Literally just 18 really cute and wholesome Tumblr posts,no-clickbait,clickbait,0.8195,0.39999999997999997,0.3333333333
828159250476232704,10 shocking confessions from nannies,no-clickbait,clickbait,0.78989345,0.59999999998,0.3333333333
854647044371353600,People imagine what would happen #IfOnlytheEarthCouldSpeak,no-clickbait,clickbait,0.78005695,0.39999999998,0.3333333333
814486084344233984,7 features we'll probably see in Tesla's mysterious 'Model Y',no-clickbait,clickbait,0.7607181,0.3333333333,0.3333333333
811299799924441088,The 50 most hilarious tweets from parents this year,no-clickbait,clickbait,0.7564277,0.59999999998,0.3333333333
856392686168944641,What to cook this week,no-clickbait,clickbait,0.7523634,0.39999999995999996,0.3333333333
811680748109447168,Here's how much legroom you get on America's airlines,no-clickbait,clickbait,0.75031406,0.46666666664,0.3333333333
840976948436312064,7 times @CarrieUnderwood's faith was inspiring ❤️,no-clickbait,clickbait,0.7496209,0.46666666664,0.3333333333
828309258341081088,What's your answer to @KatrinaPierson's question?,no-clickbait,clickbait,0.7490735,0.26666666664,0.0
837662901985021952,These countries are getting more miserable this year,no-clickbait,clickbait,0.7478207,0.39999999998,0.3333333333
841989672666583041,Can YOU find the hidden raven?,no-clickbait,clickbait,0.7459739,0.39999999998,0.3333333333
818328216565850112,What the stars wore at the #GoldenGlobes,no-clickbait,clickbait,0.7409725,0.39999999998,0.3333333333
807909354527752193,The 20 best food books of 2016,no-clickbait,clickbait,0.73856425,0.59999999998,0.3333333333
809454799926067201,Here are some practical ways you can help the people of Aleppo right now,no-clickbait,clickbait,0.73774916,0.39999999998,0.3333333333
852484511623290880,27 stylish bathing suits you can get on Amazon,no-clickbait,clickbait,0.7370309,0.13333333332,0.0
842484624504840192,This woman quit a successful Wall Street career to open a bakery. Read her story:,no-clickbait,clickbait,0.7331952,0.46666666663999995,0.3333333333
844692427541790721,Here's how Apple will handle things if your MacBook is damaged in your checked luggage,no-clickbait,clickbait,0.7326868,0.19999999998,0.3333333333
825762971347476480,#Shocking Man had to cremate his mother in the open,no-clickbait,clickbait,0.72908306,0.39999999997999997,0.3333333333
843433429349883908,How to get divorced,no-clickbait,clickbait,0.72530174,0.53333333332,0.3333333333
849016612162351106,This new dildo camera can be hacked way too easily,no-clickbait,clickbait,0.72358024,0.46666666663999995,0.3333333333
850410383651336192,These are the stories that made headlines today. #News,no-clickbait,clickbait,0.7235441,0.33333333332,0.0
804479820121804800,These were the top most Instagrammed locations in the world in 2016,no-clickbait,clickbait,0.723492,0.39999999998,0.3333333333
818939214809026560,Why do we get seasick and how do we get our 'sea legs'? | @ABCscience,no-clickbait,clickbait,0.7234915,0.59999999998,0.3333333333
845386509872238592,What people really think of Trump's tweets,no-clickbait,clickbait,0.71919924,0.46666666663999995,0.3333333333
809475636620328961,How to cook and carve your very best Christmas ham,no-clickbait,clickbait,0.7188228,0.33333333332,0.3333333333
